"","state","year","cpi","population","packs","income","tax","price","taxs","ss"
"1",1,"1985",1.07599997520447,3973000,116.486282348633,46014968,32.5000038146973,102.181671142578,33.3483352661133,"AL"
"2",2,"1985",1.07599997520447,2327000,128.534591674805,26210736,37,101.474998474121,37,"AR"
"3",3,"1985",1.07599997520447,3184000,104.522613525391,43956936,31,108.578750610352,36.1704177856445,"AZ"
"4",4,"1985",1.07599997520447,26444000,100.363037109375,447102816,26,107.837341308594,32.1040000915527,"CA"
"5",5,"1985",1.07599997520447,3209000,112.963539123535,49466672,31,94.2666625976562,31,"CO"
"6",6,"1985",1.07599997520447,3201000,109.278350830078,60063368,42,128.024993896484,51.4833335876465,"CT"
"7",7,"1985",1.07599997520447,618000,143.851135253906,9927301,30,102.491661071777,30,"DE"
"8",8,"1985",1.07599997520447,11352000,122.181121826172,166919248,37,115.290000915527,42.4900016784668,"FL"
"9",9,"1985",1.07599997520447,5963000,127.234619140625,78364336,28,97.0251693725586,28.841833114624,"GA"
"10",10,"1985",1.07599997520447,2830000,113.745582580566,37902896,34,101.842002868652,37.9169998168945,"IA"
"11",11,"1985",1.07599997520447,994000,103.018112182617,11577261,25.1000003814697,102.89933013916,29.0576667785645,"ID"
"12",12,"1985",1.07599997520447,11401000,123.208480834961,176786352,28.0000057220459,104.440254211426,28.9152565002441,"IL"
"13",13,"1985",1.07599997520447,5460000,137.63737487793,71751616,26.5,96.1800003051758,31.0799999237061,"IN"
"14",14,"1985",1.07599997520447,2428000,116.680397033691,34784360,32,98.9229125976562,34.8812484741211,"KS"
"15",15,"1985",1.07599997520447,3695000,186.035186767578,42703144,19,87.0012512207031,23.1429176330566,"KY"
"16",16,"1985",1.07599997520447,4409000,127.557266235352,53431900,32,108.393997192383,36.1689987182617,"LA"
"17",17,"1985",1.07599997520447,5881000,115.677597045898,98328688,42,112.208335876465,42,"MA"
"18",18,"1985",1.07599997520447,4414000,120.978706359863,74851664,29,91.966667175293,29,"MD"
"19",19,"1985",1.07599997520447,1163000,128.116943359375,14575292,36,107.047500610352,41.0974998474121,"ME"
"20",20,"1985",1.07599997520447,9077000,128.004852294922,133728040,37,104.914169311523,37.8308334350586,"MI"
"21",21,"1985",1.07599997520447,4185000,112.903228759766,63152360,34,113.64966583252,40.4329986572266,"MN"
"22",22,"1985",1.07599997520447,5001000,130.373931884766,69341920,29.0000038146973,99.3381652832031,29.8548374176025,"MO"
"23",23,"1985",1.07599997520447,2588000,117.040184020996,25678534,27.5833320617676,105.293334960938,33.5433311462402,"MS"
"24",24,"1985",1.07599997520447,822000,104.257904052734,9785230,32,99.2916641235352,32,"MT"
"25",25,"1985",1.07599997520447,6255000,155.283767700195,79104656,18,84.9679946899414,21.2679996490479,"NC"
"26",26,"1985",1.07599997520447,677000,105.465286254883,8672948,34,106.807998657227,38.1080017089844,"ND"
"27",27,"1985",1.07599997520447,1585000,107.381706237793,21778072,34,104.606666564941,38.0233345031738,"NE"
"28",28,"1985",1.07599997520447,997000,197.993988037109,15767469,33,95.5,33,"NH"
"29",29,"1985",1.07599997520447,7566000,116.521278381348,133549208,41,110.416664123535,41,"NJ"
"30",30,"1985",1.07599997520447,1439000,88.7421798706055,17258916,28,102.77799987793,31.9529991149902,"NM"
"31",31,"1985",1.07599997520447,951000,141.955841064453,14581495,31,114.188499450684,37.4635009765625,"NV"
"32",32,"1985",1.07599997520447,17794000,116.66291809082,297728512,37.0000038146973,109.997825622559,37.8811721801758,"NY"
"33",33,"1985",1.07599997520447,10736000,127.598739624023,153455776,30,100.42374420166,34.7820816040039,"OH"
"34",34,"1985",1.07599997520447,3272000,127.139366149902,43395580,34,101.468078613281,34.826416015625,"OK"
"35",35,"1985",1.07599997520447,2673000,119.453796386719,36205164,35,97.033332824707,35,"OR"
"36",36,"1985",1.07599997520447,11772000,117.703025817871,170033840,34,109.074005126953,40.173999786377,"PA"
"37",37,"1985",1.07599997520447,967000,132.781784057617,14229156,39,100.941665649414,39,"RI"
"38",38,"1985",1.07599997520447,3304000,127.209442138672,38536176,23,90.6412506103516,27.3162498474121,"SC"
"39",39,"1985",1.07599997520447,698000,106.590255737305,8340000,31,97.0833358764648,31,"SD"
"40",40,"1985",1.07599997520447,4716000,129.834594726562,57749668,29,101.945503234863,34.7705001831055,"TN"
"41",41,"1985",1.07599997520447,16275000,115.102928161621,231003152,35.25,107.379997253418,39.3800010681152,"TX"
"42",42,"1985",1.07599997520447,1643000,68.046257019043,19462380,28,110.195838928223,34.2374992370605,"UT"
"43",43,"1985",1.07599997520447,5716000,134.009796142578,87361632,18.5000019073486,91.6153335571289,22.0236682891846,"VA"
"44",44,"1985",1.07599997520447,530000,145.283020019531,6887097,33,100.983337402344,33,"VT"
"45",45,"1985",1.07599997520447,4401000,96.2281265258789,64846548,39,129.461090087891,47.4694175720215,"WA"
"46",46,"1985",1.07599997520447,4748000,107.876998901367,65732720,41,114.590003967285,46.4566650390625,"WI"
"47",47,"1985",1.07599997520447,1907000,112.84740447998,20852964,33,108.911247253418,38.1862487792969,"WV"
"48",48,"1985",1.07599997520447,5e+05,129.399993896484,7116756,24,93.466667175293,24,"WY"
"49",1,"1995",1.5239999294281,4262731,101.085433959961,83903280,40.5000038146973,158.371337890625,41.904670715332,"AL"
"50",2,"1995",1.5239999294281,2480121,111.04296875,45995496,55.5,175.542510986328,63.8591690063477,"AR"
"51",3,"1995",1.5239999294281,4306908,71.9541702270508,88870496,65.3333282470703,198.607498168945,74.7908248901367,"AZ"
"52",4,"1995",1.5239999294281,31493524,56.8593063354492,771470144,61,210.504669189453,74.7713317871094,"CA"
"53",5,"1995",1.5239999294281,3738061,82.5829238891602,92946544,44,167.350006103516,44,"CO"
"54",6,"1995",1.5239999294281,3265293,79.4721908569336,104315120,74,218.280502319336,86.3554992675781,"CT"
"55",7,"1995",1.5239999294281,718265,124.466598510742,18237436,48,165.600006103516,48,"DE"
"56",8,"1995",1.5239999294281,14185403,93.0745544433594,333525344,57.9000015258789,187.717178344727,68.525505065918,"FL"
"57",9,"1995",1.5239999294281,7188538,97.4746246337891,159800448,36,156.57307434082,37.4314155578613,"GA"
"58",10,"1995",1.5239999294281,2840860,92.4015960693359,60170928,60,190.889999389648,69.0899963378906,"IA"
"59",11,"1995",1.5239999294281,1165000,74.8497848510742,22868920,52,179.637512207031,60.5541687011719,"ID"
