"GDP251","FYFF","PCEPI","FYGM3","RPCNDSV","CPIAUCSL","LBMNU","PCEPILFE","FMRRA","FMFBA","MZMSL","IPS10","LBOUT","LHNAG","HSBR","GDP288A","FSDJ","FSPCOM","FYGT5","FYGT10","sFYBAAC"
3.1936,2.57,2.77767734707276,2.7733,3.75514750943504,3.3671,4.0963,3.0385,9.3154,10.61,5.6208,3.2188,3.8633,10.975,7.3419,2.6708,6.3925,4.0166,3.9867,3.99,0.88
3.2195,3.0833,2.78080380138159,3,3.76422686359948,3.3688,4.1153,3.0425,9.3101,10.615,5.6349,3.2662,3.8697,10.985,7.3225,2.6723,6.44,4.0519,4.3233,4.2567,0.69667
3.2188,3.5767,2.78663207357627,3.54,3.77085914543009,3.3739,4.1123,3.0486,9.3178,10.621,5.6485,3.2244,3.8757,10.992,7.2742,2.6724,6.4815,4.073,4.6833,4.5033,0.61333
3.2223,3.99,2.7924060750507,4.23,3.77738957857685,3.38,4.1125,3.0542,9.3122,10.618,5.6537,3.2292,3.8783,10.994,7.2079,2.6742,6.4796,4.0564,4.8267,4.5833,0.69
3.2443,3.9333,2.79332598974958,3.8733,3.77755638969647,3.3809,4.1186,3.0567,9.2984,10.614,5.6601,3.2877,3.9051,11.001,6.9518,2.6838,6.4483,4.0303,4.64,4.4867,0.82333
3.2393,3.6967,2.79961240707419,2.9933,3.78562090041315,3.3869,4.1204,3.0606,9.2901,10.613,5.6671,3.2658,3.8849,11.013,6.9164,2.6885,6.4404,4.0266,4.3,4.26,0.98667
3.2408,2.9367,2.8039565444303,2.36,3.7800042774673,3.3874,4.1147,3.0646,9.3123,10.619,5.6829,3.2492,3.8869,11.009,6.9001,2.6929,6.4235,4.0203,3.6733,3.8333,1.27
3.2278,2.2967,2.80830892699163,2.3067,3.78232303691248,3.3938,4.1054,3.0683,9.3285,10.623,5.6977,3.2248,3.8792,11.007,6.8745,2.6967,6.3931,4.0134,3.7467,3.8867,1.21
3.2338,2.0033,2.8099169202563,2.35,3.78798589890169,3.3958,4.0998,3.0696,9.3255,10.619,5.7147,3.2095,3.8897,11.007,6.8841,2.7018,6.4784,4.1272,3.6433,3.7867,1.2767
3.2524,1.7333,2.80901948292862,2.3033,3.79831957773085,3.3955,4.0974,3.0727,9.313,10.617,5.7307,3.2484,3.9238,11.01,6.9402,2.711,6.5364,4.1894,3.6167,3.79,1.2267
