"id_veicolo" "id_percorso" "id_palina" "aria.x" "moby.x" "meb.x" "banda.x" "pedana.x" "linea.x" "statotraffico.x" "tempo_attesa.y" "distanza_fermate.y" "a_capolinea.y" "tempo_attesa_secondi.y" "statotraffico.y" "traveltime" "ora" "giorno" "giornosettimana" "direction" "weather" "prevision_w"
"9" "1750" "56768" "80713" 0 0 0 "0" 0 "115" "4" 25 26 0 1524 "4" 1450 "18" "16" "2" 1 "0" "0"
"20" "1750" "56768" "80713" 0 0 0 "0" 0 "115" "4" 33 26 1 1993 "4" 2018 "15" "16" "2" 1 "0" "0"
"31" "1750" "56768" "80713" 0 0 0 "1" 0 "115" "4" 22 25 0 1347 "4" 1304 "21" "16" "2" 1 "0" "0"
"35" "1750" "56768" "80713" 0 0 0 "0" 0 "115" "4" 36 26 1 2159 "4" 2150 "17" "16" "2" 1 "0" "0"
"45" "1750" "56768" "80713" 0 0 0 "1" 0 "115" "4" 38 26 1 2302 "4" 2670 "16" "16" "2" 1 "0" "0"
"54" "1762" "51574" "80713" 0 0 0 "0" 0 "870" "4" 18 25 0 1067 "4" 1191 "18" "16" "2" 1 "0" "0"
"56" "1762" "51574" "80713" 0 0 0 "1" 0 "870" "4" 22 28 0 1332 "4" 1316 "20" "16" "2" 1 "0" "0"
"65" "1762" "51574" "80713" 0 0 0 "1" 0 "870" "4" 28 34 1 1669 "4" 1745 "16" "16" "2" 1 "0" "0"
"67" "1764" "56768" "80713" 0 0 0 "0" 0 "115" "4" 40 26 1 2420 "4" 2159 "16" "16" "2" 1 "0" "0"
"76" "1792" "51574" "80713" 0 0 0 "1" 0 "870" "4" 30 34 1 1805 "4" 1745 "22" "16" "2" 1 "0" "0"
"79" "1792" "51574" "80713" 0 0 0 "1" 0 "870" "4" 9 11 0 531 "4" 441 "21" "16" "2" 1 "0" "0"
"93" "1792" "51574" "80713" 0 0 0 "0" 0 "870" "4" 24 29 0 1436 "4" 1314 "19" "16" "2" 1 "0" "0"
"100" "1792" "51574" "80713" 0 0 0 "0" 0 "870" "4" 15 22 0 873 "4" 1092 "15" "16" "2" 1 "0" "0"
"105" "1792" "51574" "80713" 0 0 0 "1" 0 "870" "4" 37 34 1 2220 "4" 2574 "17" "16" "2" 1 "0" "0"
"113" "1792" "51574" "80713" 0 0 0 "0" 0 "870" "4" 20 28 0 1211 "4" 1332 "23" "16" "2" 1 "0" "0"
"134" "1794" "56768" "80713" 0 0 0 "0" 0 "115" "4" 15 17 0 874 "4" 932 "22" "16" "2" 1 "0" "0"
"146" "1794" "56768" "80713" 0 0 0 "0" 0 "115" "4" 23 26 1 1371 "4" 2011 "19" "16" "2" 1 "0" "0"
"161" "1794" "56768" "80713" 0 0 0 "0" 0 "115" "4" 15 19 0 903 "4" 865 "16" "16" "2" 1 "0" "0"
